,Tweet Text,Label,clean_tweet
0,"@McConnellPress POS TRUMP: ""It's hard not to be happy with the job we're doing.""
The U.S. has 63,000+ confirmed coronavirus cases. Nearly 900 people are dead, &amp; there's a deadly shortage of critical supplies to keep people alive. &amp; Trump is ""happy."" https://t.co/2VUNzzHMLu",0,"@McConnellPress POS TRUMP: ""It's hard not to be happy with the job we're doing."" The U.S. has 63,000+ confirmed coronavirus cases. Nearly 900 people are dead, &amp; there's a deadly shortage of critical supplies to keep people alive. &amp; Trump is ""happy."""
1,"@CNN Total Cases Of Coronavirus in 2 Months. 
( 1st March - 1st May )
Coronavirus Bar Chart Race

 ðºð¸ USA Surpass 1.1 Million Cases
 ð¨ðµ France Surpass 168k Cases 
 ð¬ð§ UK Surpass 177k Cases

#Covid_19 #coronavirus #MayDay2020 #CovidMondial https://t.co/kM2fFhxrHo",0,@CNN Total Cases Of Coronavirus in 2 Months. ( 1st March - 1st May ) Coronavirus Bar Chart Race USA Surpass 1.1 Million Cases France Surpass 168k Cases UK Surpass 177k Cases #Covid_19 #coronavirus #MayDay2020 #CovidMondial
2,"@PhilipRucker @morningmika There is no question in my mind that our President Donald J Trump is playing with dynamite with this whole COVID-19 Crisis. At least 2,300 nursing homes have coronavirus cases. OMG Trump must stop dodging important questions STOP PITCHING UNPROVEN meds. https://t.co/AT8BFJB9N4 https://t.co/PfsBJFsccd",0,"@PhilipRucker @morningmika There is no question in my mind that our President Donald J Trump is playing with dynamite with this whole COVID-19 Crisis. At least 2,300 nursing homes have coronavirus cases. OMG Trump must stop dodging important questions STOP PITCHING UNPROVEN meds."
3,BREAKING: Department of Justice requesting data from governors that issued coronavirus orders that may have resulted in deaths of elderly nursing home residents,0,BREAKING: Department of Justice requesting data from governors that issued coronavirus orders that may have resulted in deaths of elderly nursing home residents
4,@Bklyn2246 New York has the second highest death toll per capita. Not to mention the thousands of elderly killed by his terrible policy forcing nursing homes to accept covid-19 patients.,0,@Bklyn2246 New York has the second highest death toll per capita. Not to mention the thousands of elderly killed by his terrible policy forcing nursing homes to accept covid-19 patients.
5,"Hispanic workers in the Inland Empire hit hard by coronavirus shutdown
 # #politics #latino #latinos #hispanics #diversitymatters #hispanos #latinx #hispanic #latina #societyandculture #latinosenusa #latinaleaders #publicrelations https://t.co/M1FFTq1SoA",0,Hispanic workers in the Inland Empire hit hard by coronavirus shutdown # #politics #latino #latinos #hispanics #diversitymatters #hispanos #latinx #hispanic #latina #societyandculture #latinosenusa #latinaleaders #publicrelations
6,"Unfortunately, the death toll is probably far higher than the official tally. How many states are counting Covid-19 deaths in nursing homes? And this just the tip of the iceberg.
https://t.co/CiHRScWaMj",0,"Unfortunately, the death toll is probably far higher than the official tally. How many states are counting Covid-19 deaths in nursing homes? And this just the tip of the iceberg."
7,"@MrRobTyson @Theatre0fDreams If you have cancer &amp; someone shoots you, you didn't die from cancer you died from a gunshot wound. Same applys with covid19. Being elderly didn't kill them, having a deadly virus did. https://t.co/YBsQvAd5ud",0,"@MrRobTyson @Theatre0fDreams If you have cancer &amp; someone shoots you, you didn't die from cancer you died from a gunshot wound. Same applys with covid19. Being elderly didn't kill them, having a deadly virus did."
8,Just as some in the corridors of power believe that letting the 'useless mouths' (ie the 'non-productive' elderly and disabled) die from Covid-19 through the practice of 'herd immunity' is a price worth paying,0,Just as some in the corridors of power believe that letting the 'useless mouths' (ie the 'non-productive' elderly and disabled) die from Covid-19 through the practice of 'herd immunity' is a price worth paying
9,"@mayzeesMom @realDonaldTrump Tweets saying âUS w/o NYC have done better than EUâ. Wrong.  200.000 in the US died because of #Covid19 , 33k in NYC. Loss per million in the EU: 323 , in USA : 585. Even if one âcounts out NYCâ, the USA did compared to the EU a miserable Trump job. Prayer for those we lost.",0,"@mayzeesMom @realDonaldTrump Tweets saying US w/o NYC have done better than EU. Wrong. 200.000 in the US died because of #Covid19 , 33k in NYC. Loss per million in the EU: 323 , in USA : 585. Even if one counts out NYC, the USA did compared to the EU a miserable Trump job. Prayer for those we lost."
